mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,param_model__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.031878423690795896,0.007191479776763853,0.0380795955657959,0.007691439437425299,3,uniform,"{'model__n_neighbors': 3, 'model__weights': 'uniform'}",0.9663319845757466,0.9709230775881447,0.9712009646302251,0.9711408188488556,0.9659975961538463,0.9691188883593636,0.0024160977218081713,1,0.9814740594531431,0.9829543765701682,0.9821482475464403,0.9808671573746787,0.9835423697895507,0.9821972421467962,0.000967175277872555
0.030490636825561523,0.0012552578835413255,0.039455223083496097,0.005325151026041552,3,distance,"{'model__n_neighbors': 3, 'model__weights': 'distance'}",0.9673544,0.9698648830783746,0.9712009646302251,0.9701010911424903,0.9669710288197783,0.9690984735341738,0.00164808421947051,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.036049842834472656,0.004343778925080182,0.05103802680969238,0.010104213110789613,5,uniform,"{'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.9673385549872122,0.9694178831377527,0.9712643525484773,0.9672927457542387,0.9639999014438476,0.9678626875743058,0.0024294288700781102,4,0.9767533474149342,0.9761052225413647,0.9768955829326923,0.9752522348859705,0.9765897435897436,0.976319226272941,0.0005963381592440957
0.0284726619720459,0.001154432430644381,0.045456552505493165,0.00953083193756134,5,distance,"{'model__n_neighbors': 5, 'model__weights': 'distance'}",0.9673385549872122,0.9699180907780665,0.9731209255103132,0.9667843450479232,0.9650074373679322,0.9684338707382893,0.002822498496072583,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.028104782104492188,0.0006569785118894812,0.055922317504882815,0.015738616957820802,9,uniform,"{'model__n_neighbors': 9, 'model__weights': 'uniform'}",0.9632397959183673,0.9655736206996578,0.9662812557672659,0.9661970362857787,0.9616202647193062,0.9645823946780752,0.0018467544974772425,6,0.9710938565821644,0.9668194960244567,0.9697135636318532,0.9684175695305984,0.9700503163495479,0.969218960423724,0.0014731379691505122
0.040352916717529295,0.013567306623703495,0.04954829216003418,0.013027285099389007,9,distance,"{'model__n_neighbors': 9, 'model__weights': 'distance'}",0.9639342693044033,0.967806701224551,0.9703912,0.968366042902784,0.9644223037817088,0.9669841034426895,0.0024518987135272916,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.039361429214477536,0.010541302656834844,0.06605691909790039,0.018972224540667177,15,uniform,"{'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.9620320825174189,0.9578061171198929,0.9622949179091488,0.9598979591836735,0.9585527015528611,0.960116755656599,0.0018025568154988111,9,0.963801918018831,0.9640438942834408,0.9632489761658909,0.9626590679057785,0.9635244314555896,0.9634556575659061,0.00047914942820637005
0.034090709686279294,0.011302536727970339,0.05678534507751465,0.014540057789493497,15,distance,"{'model__n_neighbors': 15, 'model__weights': 'distance'}",0.9620320825174189,0.9590908530191823,0.9699180907780665,0.9645873713470062,0.9585527015528611,0.962836219842907,0.004153128121217161,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.040548515319824216,0.011090480724243018,0.0721203327178955,0.009641321757117929,25,uniform,"{'model__n_neighbors': 25, 'model__weights': 'uniform'}",0.9568967159330667,0.9526794801890222,0.9598979591836735,0.9595283164211219,0.9573138242313779,0.9572632591916523,0.002577598457065763,10,0.9585466552467895,0.955446000376378,0.9570036208640437,0.9569004732845139,0.9572552646942118,0.9570304028931874,0.0009876754876912877
0.03453378677368164,0.012791623043403482,0.06727495193481445,0.010440790466534861,25,distance,"{'model__n_neighbors': 25, 'model__weights': 'distance'}",0.9607954008100497,0.9568967159330667,0.9634536184382907,0.9607954008100497,0.9598877137190016,0.9603657699420916,0.0021055567990843024,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
