mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.028653287887573244,0.000683451159620865,0.01168360710144043,0.0012271453747261392,,3,1,"{'model__class_weight': None, 'model__max_depth': 3, 'model__min_samples_leaf': 1}",0.9678495694525092,0.9650779020632554,0.9657832480818415,0.9611101091890565,0.9633544394601153,0.9646350536493555,0.002276522926354415,18,0.9693252759861077,0.9666926916932908,0.9685476955693895,0.9657941907522712,0.9672029536709096,0.9675125615343937,0.001271084409800786
0.028185462951660155,0.002379340544206032,0.018836545944213866,0.01012200811844363,,3,5,"{'model__class_weight': None, 'model__max_depth': 3, 'model__min_samples_leaf': 5}",0.9668327667553039,0.9639342693044033,0.9663319845757466,0.9611101091890565,0.9633544394601153,0.9643127138569252,0.0020854883171135766,19,0.9695727074813613,0.9654197093922912,0.9682896195811354,0.9657941907522712,0.9669387997560822,0.9672030053926282,0.0015511883391835925
0.03345651626586914,0.005659744068849769,0.011419296264648438,0.001970131502719444,,3,20,"{'model__class_weight': None, 'model__max_depth': 3, 'model__min_samples_leaf': 20}",0.9663319845757466,0.9661970362857787,0.9673385549872122,0.9652026471930626,0.9644223037817088,0.9658985053647019,0.0010014147553544046,17,0.96917005,0.9658141965282936,0.9657748888060255,0.9663142649847797,0.9666977865983075,0.9667542373834813,0.0012550468872901722
0.034104537963867185,0.004003344336278427,0.022365522384643555,0.021953739594480177,,5,1,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_leaf': 1}",0.9673436653033065,0.9693927132506787,0.9683581272322932,0.9710026909640261,0.9716086666666667,0.9695411726833942,0.0015913040239729228,13,0.977612671316691,0.9761526237266159,0.9739783525705313,0.9782295790706331,0.9767638769705765,0.9765474207310095,0.0014674634360943035
0.03746342658996582,0.005536799948686143,0.013384008407592773,0.006153398683573325,,5,5,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_leaf': 5}",0.9678484827692322,0.9693927132506787,0.9673092337287592,0.9687621566741477,0.9710667413572344,0.9688758655560104,0.0013107134468228884,14,0.9763034300381094,0.9743582306351949,0.9737001062598258,0.9768164511415626,0.9761948910120717,0.975474621817353,0.0012166718087034882
0.03768758773803711,0.005350061324154717,0.011296892166137695,0.0010625172338030056,,5,20,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_leaf': 20}",0.9683171066560133,0.9716680025649247,0.9723347409874787,0.9736274538443561,0.9684999137633667,0.9708894435632279,0.0021221926817268826,11,0.9735515822022738,0.9742555648993592,0.9707845986755358,0.9762214490305523,0.9739837728665326,0.9737593935348506,0.0017464729815438002
0.03968415260314941,0.0018439784634082946,0.012003421783447266,0.00253978832459253,,8,1,"{'model__class_weight': None, 'model__max_depth': 8, 'model__min_samples_leaf': 1}",0.9795607592918061,0.9814400773195877,0.9821747664480224,0.9832877947822125,0.9772484428694157,0.980742368142209,0.00212703893098125,3,0.9915398734119285,0.9913229464818698,0.9922651615396919,0.9924396198880906,0.990848723349351,0.9916832649341863,0.0005928788490659855
0.05299644470214844,0.01497477138898665,0.011897850036621093,0.002857465496884466,,8,5,"{'model__class_weight': None, 'model__max_depth': 8, 'model__min_samples_leaf': 5}",0.9787886597938145,0.9808794199826572,0.9782218055378294,0.9808794199826572,0.9808387191539366,0.9799216048901791,0.0011703675068259485,5,0.9869300630189738,0.9868515128488532,0.9889658263168749,0.9882846926025901,0.9867831684022385,0.987563052637906,0.0008948432693115874
0.05296492576599121,0.02371972469061218,0.011239862442016602,0.0021525944372087634,,8,20,"{'model__class_weight': None, 'model__max_depth': 8, 'model__min_samples_leaf': 20}",0.9788682184653559,0.9771624256105069,0.978145577792124,0.9798959803263416,0.9759101159793815,0.977996463634742,0.0013739593256857489,8,0.982140382463629,0.981270473616266,0.9824367766282925,0.9810743314269054,0.9812491407699079,0.9816342209810003,0.0005466937425301919
0.04794397354125977,0.0074779483269577195,0.010256290435791016,0.0005950833550649324,,12,1,"{'model__class_weight': None, 'model__max_depth': 12, 'model__min_samples_leaf': 1}",0.979431132039646,0.9816248557581352,0.980710742047792,0.9814143865842895,0.9778289497538911,0.9802020132367508,0.0014127153351894176,4,0.9968020399180624,0.9969655678628929,0.9987386669838546,0.9968020399180624,0.9958321128368668,0.9970280855039478,0.000944726551870398
0.04962024688720703,0.012924088159537961,0.012223339080810547,0.0031055435437617154,,12,5,"{'model__class_weight': None, 'model__max_depth': 12, 'model__min_samples_leaf': 5}",0.980323589784076,0.982559281339557,0.9809015354800238,0.9808794199826572,0.9827865333754392,0.9814900719923505,0.0009903507047000204,2,0.9885249295514451,0.9887529712691197,0.990138657625287,0.9882846926025901,0.9890188067693506,0.9889440115635585,0.000644918778588676
0.050833511352539065,0.00869883684466844,0.01314077377319336,0.0030189827290034886,,12,20,"{'model__class_weight': None, 'model__max_depth': 12, 'model__min_samples_leaf': 20}",0.9788682184653559,0.9780069921179763,0.978145577792124,0.9798959803263416,0.9759101159793815,0.978165376936236,0.0013115375746943513,6,0.982140382463629,0.981270473616266,0.9824367766282925,0.9810743314269054,0.9812491407699079,0.9816342209810003,0.0005466937425301919
0.04442377090454101,0.0023045040982003074,0.010840082168579101,0.0006839412611899552,,,1,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1}",0.97625,0.9766587250185047,0.9789363047955281,0.9772178257569926,0.975215118430792,0.9768555948003634,0.0012294088695203975,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.04635748863220215,0.005925166011323085,0.010612201690673829,0.00041569069041764767,,,5,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 5}",0.9814400773195877,0.982559281339557,0.9807166862871681,0.9808794199826572,0.9827865333754392,0.9816763996608818,0.000851346173882271,1,0.9887611024047297,0.9887529712691197,0.990138657625287,0.9882846926025901,0.9891936936936938,0.9890262235190841,0.000626159723637787
0.06926708221435547,0.023352024574704092,0.013011407852172852,0.003245973665840034,,,20,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 20}",0.9788682184653559,0.9780069921179763,0.978145577792124,0.9798959803263416,0.9759101159793815,0.978165376936236,0.0013115375746943513,6,0.982140382463629,0.981270473616266,0.9824367766282925,0.9810743314269054,0.9812491407699079,0.9816342209810003,0.0005466937425301919
