,distance_metric,Accuracy,Precision_failure,Recall_failure,F1_weighted,ROC_AUC
0,euclidean,0.974,0.8333333333333334,0.29411764705882354,0.9679289751234925,0.8290859822189744
1,manhattan,0.9735,0.8260869565217391,0.27941176470588236,0.9671003348148397,0.8297558153696262
2,chebyshev,0.9715,0.7894736842105263,0.22058823529411764,0.9636525815804085,0.8044353611009621
