,Model,scoring,folds,CV_mean,CV_std
1,A2. K-Nearest Neighbors,f1_weighted,5,0.9678626875743058,0.0024294288700781102
3,A4. Decision Tree Classifier,f1_weighted,5,0.9748009938884824,0.0017367824078934602
